basin_id,slope,lon,elev,lat,pop,pop_dnsty,length,area,form_factor,shape_factor,compactness_coefficient,circulatory_ratio,elongation_ratio
17456,271.7741089,87.506,2551.728927,49.38076192,1181,0.24820749,76.42094475,3119.122677,0.534081644,1.872372907,2.074551785,0.232430379,0.824352436
18110,327.200592,86.88226401,2424.910045,49.30031812,418,0.142794668,,1922.199423,,,,,
18139,129.3336182,82.92663494,1220.966535,47.58963765,1235,0.595966244,107.7460645,1409.94693,0.121450675,8.233795305,2.758297739,0.131479839,0.393105452
18141,204.6573029,83.11430192,728.9132858,47.60359994,846,0.507548444,89.28625926,1130.211264,0.14177197,7.053580465,2.13807507,0.218824301,0.42472154
18142,134.0594025,83.39996265,994.1062098,47.55074874,1680,0.548803417,98.30970246,2080.850923,0.215302069,4.644637196,1.965554268,0.258923442,0.523399377
18144,64.88471985,84.32986643,1305.120605,47.52154076,5453,0.663008316,189.1274343,5617.443334,0.157046998,6.367520643,2.737852013,0.133450901,0.447016876
18148,185.9780426,85.07020724,1320.247669,47.45670507,4140,1.062700544,113.1700477,2652.406596,0.207098571,4.828618549,2.490503074,0.161275087,0.513331187
18150,153.9331055,85.41146984,1040.547471,47.48560836,7735,1.71551539,,3064.621949,,,,,
18153,64.55613708,85.38400394,501.4007443,48.08870105,2179,1.145903586,53.43815977,1278.765109,0.447803816,2.233120766,1.995277658,0.251266604,0.754836678
18154,269.1141968,85.53135066,415.7610637,48.0350119,17,0.71291322,6.64779991,16.04702564,0.363110383,2.753983488,1.914629756,0.272880085,0.679717472
18155,0,85.72913325,985.8659423,48.33481044,4385,1.997524731,69.60417746,1466.436157,0.30268615,3.30375209,2.307845033,0.187814087,0.620590859
18156,0,85.97487992,1164.712445,48.38859641,5525,2.192129412,87.04367512,1684.087188,0.222274751,4.498936535,2.683152033,0.138947548,0.531807143
18157,219.4413452,85.89544488,495.4580649,48.11504659,5478,4.487440383,,820.4203579,,,,,
18158,86.55395508,85.81312894,604.2536469,47.72872575,3071,1.91334246,67.26015841,1086.116236,0.240082516,4.165234583,1.948541349,0.263464556,0.552699876
18159,23.16769409,85.94869823,455.6072588,47.94317247,3546,3.367031217,58.70301591,710.0703336,0.206053758,4.853102451,2.167514529,0.21292047,0.512034672
18160,225.7793121,86.52833965,1207.446823,48.25226053,18665,5.025161687,106.8575141,2486.456085,0.217756265,4.592290368,2.487307961,0.161689691,0.526374
18161,118.3660507,86.82964071,1303.326167,48.8412562,1640,0.688675906,77.85955611,1575.941645,0.25996584,3.846659231,2.083475173,0.230443674,0.575131616
18162,71.88484192,86.24004099,1173.984149,48.85091075,596,0.128990535,85.66965222,3058.582201,0.416740923,2.399572361,1.806251173,0.306609188,0.728185747
18163,66.32095337,86.25246678,475.7724956,47.82155523,175,2.563173132,,46.13279175,,,,,
18164,200.8582611,86.16421218,1161.950722,47.4243279,5424,1.859672374,98.17393049,1985.547459,0.206009816,4.854137624,2.432745901,0.169023835,0.511980072
18165,65.42203522,86.48016344,596.2707331,47.88305431,6711,3.221390866,58.63609841,1407.064544,0.409245478,2.443521195,2.35089113,0.1809991,0.72160751
18166,155.7250366,86.82211806,710.9761907,48.07993059,6415,3.63227384,44.70054138,1188.491154,0.594799216,1.681239606,1.839073895,0.295762488,0.869950002
18167,196.438324,86.77987871,637.0706739,47.69077982,7903,4.809705319,50.37754191,1113.178305,0.43862238,2.279865425,1.655446735,0.365015265,0.747058297
18168,303.3673096,87.17906202,1060.378902,48.00687159,19916,5.553937587,94.92429468,2412.094026,0.267694517,3.735601358,2.209176125,0.204965501,0.583618214
18169,264.1827393,87.98123044,2229.905311,48.38279763,1288,0.346210269,92.9069294,2488.483871,0.288296,3.468657214,2.134853699,0.219485186,0.605659325
18170,247.184433,87.43666443,1741.168142,48.40185217,273,0.331869175,31.13534844,549.6609254,0.567005673,1.763650784,1.799804625,0.30880955,0.849381508
